,0
62,"It is an extremely vicious and violent POKéMON. When humans begin to fight, it will appear and burn everything to the ground with intensely hot flames."
63,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
64,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away."
65,It can slip through any obstacle. It lurks inside walls to keep an eye on its foes.
66,"On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around."
67,"HAUNTER is a dangerous POKéMON. If one beckons you while floating in darkness, you must never approach it. This POKéMON will try to lick you with its tongue and steal your life away."
68,"It hides in the dark, planning to take the life of the next living thing that wanders close by."
69,"If you get the feeling of being watched in darkness when nobody is around, HAUNTER is there."
70,"In total darkness, where nothing is visible, HAUNTER lurks, silently stalking its next victim."
71,"If a HAUNTER beckons you while it is floating in darkness, don’t approach it. This POKéMON will try to lick you with its tongue and steal your life away."
72,"By licking, it saps the victim's life. It causes shaking that won't stop until the victim's demise."
73,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes."
74,It licks with its gaseous tongue to steal the victim’s life force. It lurks in darkness for prey.
75,It strikes at humans from total darkness. Those licked by its cold tongue grow weaker with each passing day until they die.
76,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.
77,"It’s dangerous to go outside alone on nights when you’re feeling sad. Haunter will catch you, and you won’t be able to go back home."
78,"Because of its ability to slip through block walls, it is said to be from another dimension."
79,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there."
80,"The magma in its body reaches 2,200 degrees F. Its hump gets smaller when it uses Fire-type moves."
81,"Numel stores magma of almost 2,200 degrees Fahrenheit within its body. If it gets wet, the magma cools and hardens. In that event, the Pokémon’s body grows heavy and its movements become sluggish."
82,"NUMEL stores magma of almost 2,200 degrees F within its body. If it gets wet, the magma cools and hardens. In that event, the POKéMON’s body grows heavy and its movements become sluggish."
83,A NUMEL stores boiling magma in the hump on its back. It is a hardy POKéMON that can transport a 220-pound load. It has served humans at work since long ago.
84,"Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement."
85,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
86,The flaming magma it stores in the hump on its back is the source of its tremendous power.
87,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma."
88,"Magma of almost 2,200 degrees Fahrenheit courses through its body. When it grows cold, the magma hardens and slows it."
89,"The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves."
90,It is a nocturnal POKéMON that flies from fields and mountains to the attraction of streetlights at night. It looses highly toxic powder from its wings.
91,It scatters its fine dust all over when it is attacked. It is a nocturnal Pokémon.
92,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.
93,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
94,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
95,"Toxic powder is scattered with each flap. At night, it is known to strip leaves off trees lining boulevards."
96,"When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar."
97,"When DUSTOX flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This POKéMON searches for food using its antennae like radar."
98,It scatters horribly toxic dust when it senses danger. They tend to gather in the glow of streetlamps at night.
99,"A nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards."
100,"When the flowers of a well-tended flower bed bloom, it appears and celebrates with an elegant dance."
101,The flower it’s holding can no longer be found blooming anywhere. It’s also thought to contain terrifying power.
102,"It gives its own power to flowers, pouring its heart into caring for them. Floette never forgives anyone who messes up a flower bed."
103,"Terrifying energy is concealed within its ominous flower, but Floette still swings it about innocently."
104,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.
105,"It raises flowers and uses them as weapons. The more gorgeous the blossom, the more power it contains."
106,"Its sense of smell is 100 million times better than a human’s, so even the faintest scent tells it about everything in the area. It’s like it can see with its nose!"
107,It can distinguish the faintest of scents. It puts its sensitive sense of smell to use by helping pastry chefs in their work.
108,Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn’t faze it.
109,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock."
110,"Individuals each play different roles in driving Heatmor, their natural predator, away from their colony."
111,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
112,"Durant dig nests in mountains. They build their complicated, interconnected tunnels into mazes."
113,It can freely recombine its own cellular structure to transform into other life-forms.
114,"It transforms into whatever it sees. If the thing it’s transforming into isn’t right in front of it, Ditto relies on its memory—so sometimes it fails."
115,"Its transformation ability is perfect. However, if made to laugh, it can’t maintain its disguise."
116,"When it spots an enemy, its body transfigures into an almost perfect copy of its opponent."
117,"When it encounters another DITTO, it will move faster than normal to duplicate that opponent exactly."
118,"While it can transform into anything, each Ditto apparently has its own strengths and weaknesses when it comes to transformations."
119,"Its transformation ability is perfect. However, if made to laugh, it can't maintain its disguise."
120,"With its astonishing capacity for metamorphosis, it can get along with anything. It does not get along well with its fellow Ditto."
121,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong."
122,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
123,Capable of copying an opponent’s genetic code to instantly transform itself into a duplicate of the enemy.
124,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
125,"A DITTO rearranges its cell structure to transform itself. However, if it tries to change based on its memory, it will get details wrong."
126,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
127,"It can transform into anything. When it sleeps, it changes into a stone to avoid being attacked."
128,"DITTO rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this POKéMON manages to get details wrong."
129,It can reorganize its cells to make itself into a duplicate of anything it sees. The quality of the duplicate depends on the individual.
130,They are found in ancient tombs. The patterns on their backs are said to be imbued with mysterious power.
131,Ancient people believed that the pattern on Bronzor’s back contained a mysterious power.
132,There are researchers who believe this Pokémon reflected like a mirror in the distant past.
133,Ancient people believed that the pattern on BRONZOR’s back contained a mysterious power.
134,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
135,"X-ray photos were taken to check its body structure. Nothing appeared, however."
136,"It overwhelms opponents with quick moves, but sometimes it showboats for too long when it’s using a special move and gets itself into a pinch."
137,"With its wings, it controls its position in the air. It likes to attack from above, a maneuver that is difficult to defend against."
138,"In combat, Hawlucha leaps nimbly about, taking advantage of its opponents’ blind spots. It’s also skilled at using superb submission holds."
139,"Although its body is small, its proficient fighting skills enable it to keep up with big bruisers like Machamp and Hariyama."
140,"CYNDAQUIL protects itself by flaring up the flames on its back. The flames are vigorous if the POKéMON is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
141,The fire that spouts from its back burns hottest when it is angry. The flaring flames intimidate foes.
142,"It flares flames from its back to protect itself. The fire burns vigorously if the POKéMON is angry. When it is tired, it sputters with incomplete combustion."
143,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
144,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
145,"It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection."
146,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection."
147,"It usually stays hunched over. If it is angry or surprised, it shoots flames out of its back."
148,It grips prey with its powerful pincers and will not let go until the prey is torn in half.
149,"It grips its prey in its pincers and splits them apart. Although it is a powerful Pokémon, it can’t deal with the cold."
150,"Grips its prey in its pincers and squeezes hard! It can't move if it's cold, so it lives in warm places."
151,"If it fails to crush the foe in its pincers, it will swing around and toss the opponent."
152,"It gets into territorial disputes with Vikavolt. For some reason, it apparently gets along well with Heracross in Alola."
153,"Their pincers are strong enough to shatter thick logs. Because they dislike cold, PINSIR burrow and sleep under the ground on chilly nights."
154,PINSIR is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This POKéMON’s movements turn sluggish in cold places.
155,"After Mega Evolution, it becomes able to fly. Perhaps because it’s so happy, it rarely touches the ground."
156,"Swings its long antlers wildly to attack. During cold periods, it hides deep in forests."
157,"Bathed in the energy of Mega Evolution, its wings become unusually developed. It flies at speeds of approximately 30 mph."
158,"It swings its long pincer horns wildly to attack. During cold periods, it hides deep in forests."
159,Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon’s movements turn sluggish in cold places.
160,"It zips around at blistering speeds, looking for an opening to skewer its opponent on its giant pincers."
161,"Although it’s tough, it can’t handle cold well. When night falls, it buries itself in leafage and sleeps."
162,One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.
163,"When the temperature drops at night, it sleeps on treetops or among roots where it is well hidden."
164,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape."
165,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
166,"Its two long pincer horns are powerful. Once they grip an enemy, they won’t release until the foe is torn."
167,"With its horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body."
168,"PINSIR has a pair of massive horns Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape."
169,"It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far."
170,The influence of Mega Evolution leaves it in a state of constant excitement. It pierces enemies with its two large horns before shredding them.
171,"With its pincer horns, it digs burrows to sleep in at night. In the morning, damp soil clings to its body."
172,"Thought to be an embodiment of the sun, it appeared during a bitterly cold winter and saved Pokémon from freezing."
173,"According to legends, it was hatched from a flaming cocoon to save people and Pokémon that were suffering from the cold."
174,"A sea of fire engulfs the surroundings of their battles, since they use their six wings to scatter their ember scales."
175,"As it flies, it scatters its flaming scales. It was feared by ancient people, who referred to it as “the rage of the sun.”"
176,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun."
177,"Apparently, the heads aren’t the only parts of the body that DODRIO has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest."
178,"If one of the heads gets to eat, the others will be satisfied, too, and they will stop squabbling."
179,Watch out if DODRIO’s three heads are looking in three separate directions. It’s a sure sign that it is on its guard. Don’t go near this POKéMON if it’s being wary - it may decide to peck you.
180,"When DODUO evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph."
181,Watch out if Dodrio’s three heads are looking in three separate directions. It’s a sure sign that it is on its guard. Don’t go near this Pokémon if it’s being wary—it may decide to peck you.
182,"Uses its three brains to execute complex plans. While two heads sleep, one head is said to stay awake."
183,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
184,A peculiar POKéMON species with three heads. It vigorously races across grassy plains even in arid seasons with little rainfall.
185,One of DODUO's 2 heads splits to form a unique species. It runs close to 40 MPH in prairies.
186,"When Doduo evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph."
187,"It collects data and plans three times as wisely, but it may think too much and become immobilized."
188,"An odd species that is rarely found. The three heads respectively represent joy, sadness, and anger."
189,An enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.
190,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest."
191,"It collects data and plans three times as wisely, but it may think too much and fall into a state of immobility."
192,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
193,"Once CROCONAW has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
194,"It opens its huge jaws wide when attacking. If it loses any fangs while biting, they grow back in."
195,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
196,"The tips of its fangs are slanted backward. Once those fangs clamp down, the prey has no hope of escape."
197,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
198,"Once its jaws clamp down on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like fishhooks, they become irremovably embedded."
199,The star patterns on its back grow larger or smaller depending on the number of stars in the night sky.
200,"In battle, it throws punches with all four arms. The power of each individual blow is piddly, so it aims to win by quantity rather than quality."
201,"It is said that in lands with clean air, where the stars fill the sky, there live many LEDIAN. For good reason, they use the light of the stars as energy."
202,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear."
203,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy."
204,"It uses starlight as energy. When more stars appear at night, the patterns on its back grow larger."
205,"It is said that in lands with clean air, where the stars fill the sky, there live LEDIAN in countless numbers. There is a good reason for this - the POKéMON uses the light of the stars as its energy."
206,"In the daytime when it gets warm, it curls up inside a big leaf and drifts off into a deep slumber."
207,"While it’s believed that starlight provides it with energy, this Pokémon also loves to eat berries. In the daytime, it curls up in the grass to sleep."
208,The spot patterns on its back grow larger or smaller depending on the number of stars in the night sky.
209,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
210,"It flies through the night sky, sprinkling sparkly dust. According to some, if that dust sticks to you, good things will happen to you."
211,"It has enough psychic energy to blast everything within 300 feet of itself, but it has no control over its power."
212,The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.
213,Part of the armor on its anterior legs becomes a giant sword. Its cry alone is enough to intimidate most enemies.
214,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs."
215,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.
216,It had been asleep in underground magma ever since it fiercely fought KYOGRE long ago.
217,GROUDON has the power to scatter rain clouds and make water evaporate with light and heat. It came as a savior to people who had been suffering from terrible floods.
218,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature."
219,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with Kyogre.
220,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with KYOGRE.
221,GROUDON has appeared in mythology as the creator of the land. It sleeps in magma underground and is said to make volcanoes erupt on awakening.
222,This legendary POKéMON is said to represent the land. It went to sleep after dueling KYOGRE.
223,GROUDON has long been described in mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
224,This legendary Pokémon is said to represent the land. It went to sleep after dueling Kyogre.
225,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can cause magma to erupt and expand the landmass of the world."
226,It had been asleep in underground magma ever since it fiercely fought Kyogre long ago.
227,"It is docile as a bud, but turns cheerful when it blooms. It folds back into a bud if sunlight wanes."
228,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
229,"During times of strong sunlight, its bud blooms, its petals open fully, and it becomes very active."
230,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
231,It is a flying transporter that carries small POKéMON in its beak. It bobs on the waves to rest its wings.
232,It scoops up Wishiwashi in its huge beak and swallows them whole. It can devour more than 30 at one go!
233,"Skimming the water’s surface, it dips its large bill in the sea, scoops up food and water, and carries it."
234,Its spacious beak is large enough for a small child to fit right inside.
235,"It dips its large bill in the sea, then scoops up numerous prey along with water."
236,"PELIPPER searches for food while in flight by skimming the wave tops. This POKéMON dips its large bill in the sea to scoop up food, then swallows everything in one big gulp."
237,It acts as a delivery service by carrying small Pokémon in its bill. It bobs on the waves to rest.
238,"It protects its young in its beak. It bobs on waves, resting on them on days when the waters are calm."
239,PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea.
240,Pelipper is a flying transporter that carries small Pokémon and eggs inside its massive bill. This Pokémon builds its nest on steep cliffs facing the sea.
241,Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.
242,"Pelipper searches for food while in flight by skimming the wave tops. This Pokémon dips its large bill in the sea to scoop up food, then swallows everything in one big gulp."
243,It places small Pokémon into its spacious beak and carries them around. No one knows where it’s taking them.
244,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
245,"It skims the tops of waves as it flies. When it spots prey, it uses its large beak to scoop up the victim with water. It protects its eggs in its beak."
246,"Its body is made of rugged steel. However, it is partially melted in spots because of its own heat."
247,"Boiling blood, like magma, circulates through its body. It makes its dwelling place in volcanic caves."
248,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.
249,"Aside from its head, its body parts regenerate quickly if they’re cut off. After a good night’s sleep, Mareanie is back to normal."
250,It’s found crawling on beaches and seafloors. The coral that grows on Corsola’s head is as good as a five-star banquet to this Pokémon.
251,"It plunges the poison spike on its head into its prey. When the prey has weakened, Mareanie deals the finishing blow with its 10 tentacles."
252,"They eat Corsola branches, so Mareanie are hated by craftsmen who work with Corsola branches that have naturally fallen off."
253,Scientists discovered that the distinctive patterns on its back differ by region.
254,Mantyke are friendly toward people and will approach boats closely. The patterns on their backs differ depending on their habitat.
255,People organize tours to see this Pokémon frolic and skim the tops of waves with Remoraid.
256,It’s highly friendly and easily tamed. Tours that take people swimming with Mantyke are a super-popular beach activity.
257,People organize tours to see this Pokémon frolic and skim the tops of waves with REMORAID.
258,A friendly Pokémon that captures the subtle flows of seawater using its two antennae.
259,"When it swims close to the surface of the ocean, people aboard ships are able to observe the pattern on its back."
260,The pattern on its back varies by region. It often swims in a school of Remoraid.
261,This is its form when its shell has fallen off. The color of its core depends on the materials that made up the food it ate.
262,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough."
263,It eats dust in the atmosphere. The composition of the dust determines the color of its core.
264,Strong impacts can knock it out of its shell. This Pokémon was born from mutated nanoparticles.
265,"It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground."
266,"Places where Minior fall from the night sky are few and far between, with Alola being one of the precious few."
267,"Although its outer shell is uncommonly durable, the shock of falling to the ground smashes the shell to smithereens."
268,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
269,"When it spots prey, even at a distance of over 30 miles, it swims through the desert as if it were water, then jumps out and chomps them."
270,It conceals itself in sandstorms that Flygon whip up and waits patiently for prey to appear.
271,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
272,"It can expand the focus of its eyes, enabling it to see objects in the far distance as if it were using binoculars."
273,"Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes."
274,"After clamping down with its powerful jaws, it twists its body around to rip its prey in half."
275,"Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm."
276,"They prefer clean water and soil. When the environment they live in turns bad, the whole bunch will up and move to a new area."
277,"Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants."
278,"Some say if you dry the leaves on its head, boil them down, and drink the infusion, your vigor will return, so Petilil is popular with the elderly."
279,"Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled."
280,The leaves on its head grow right back even if they fall out. These bitter leaves refresh those who eat them.
281,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.
282,"By pruning the leaves on its head with regularity, this Pokémon can be grown into a fine plump shape."
283,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.
284,It uses black pearls to amplify its psychic power. It does a strange dance to control foes’ minds.
285,"Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This Pokémon’s black pearls are valuable as works of art."
286,It can gain control over foes by doing odd dance steps. The black pearls on its forehead are precious gems.
287,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored."
288,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
289,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
290,"GRUMPIG uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This POKéMON’s black pearls are valuable as works of art."
291,It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.
292,"It stores power in the black pearls on its forehead. When it uses psychic power, it performs an odd dance step. Its style of dancing became hugely popular overseas."
293,It licks its palms that are sweetened by being soaked in honey. A TEDDIURSA makes its own honey by blending fruits and pollen collected by BEEDRILL.
294,"If it finds honey, its crescent mark glows. It always licks its paws because they’re soaked with honey."
295,This POKéMON likes to lick its palms that are sweetened by being soaked in honey. TEDDIURSA concocts its own honey by blending fruits and pollen collected by BEEDRILL.
296,It lets honey soak into its paws so it can lick them all the time. Every set of paws tastes unique.
297,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
298,It always licks honey. Its palm tastes sweet because of all the honey it has absorbed.
299,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
300,"Before food becomes scarce in wintertime, its habit is to hoard food in many hidden locations."
301,It causes small ice crystals to form by lowering the temperature of the surrounding atmosphere.
302,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles."
303,It protects itself by freezing its fur into sharp needles. It can drop its body temperature below –75 degrees Fahrenheit.
304,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust."
305,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
306,"It freezes its fur into icicles, spiky and sharp, and tackles its prey."
307,"It can instantaneously freeze any moisture that’s around it, creating ice pellets to shoot at its prey."
308,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.
309,"For no reason, it jumps and splashes about, making it easy for predators like PIDGEOTTO to catch it mid-jump."
310,"Its swimming muscles are weak, so it is easily washed away by currents. In places where water pools, you can see many MAGIKARP deposited there by the flow."
311,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.
312,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is."
